# segment file written by condition_segs: version 05/07/22
# some SrTiO3 data from http://mimp.materials.cmu.edu/~gr20/Grain_Boundary_Data_Archive/SrTiO3_1/SrT
# comment: Some SrTiO3 data from the Grain_Boundary_Data_Archive                                               
#   phi1     PHI      phi2     phi1     PHI      phi2        x1         y1         x2         y2 
    2.448    0.527    4.634    0.531    0.499    5.871      0.000      1.390      1.050      0.090
    0.531    0.499    5.871    1.724    0.683    5.244      0.000      2.420      2.400      1.910
    1.724    0.683    5.244    3.103    0.264    3.327      0.000      3.460      2.400      5.540
    3.103    0.264    3.327    0.630    0.893    5.654      0.000      6.580      1.050      6.670
    0.630    0.893    5.654    3.783    0.573    2.988      0.000      8.140      0.900      8.140
    3.783    0.573    2.988    0.671    0.543    5.184      0.000     13.340      2.250     11.520
    0.671    0.543    5.184    4.452    0.715    2.288      0.000     14.900      1.500     14.200
    4.452    0.715    2.288    2.318    1.006    3.986      0.000     15.420      1.950     15.680
    0.004    0.503    6.025    2.318    1.006    3.986      0.000     19.920      1.050     19.660
    2.058    0.758    3.730    0.004    0.503    6.025      0.000     21.480      0.300     21.480
    1.930    0.765    4.154    2.058    0.758    3.730      0.000     23.560      0.600     23.210
    1.930    0.765    4.154    2.829    0.638    4.066      0.000     25.290      0.750     26.410
    6.000    0.449    0.692    1.971    0.513    3.550      0.000     32.910      0.150     32.820
    3.434    0.559    2.313    6.000    0.449    0.692      0.000     34.470      0.900     34.990
    3.434    0.559    2.313    1.054    0.546    5.960      0.000     36.720      0.900     35.510
    1.054    0.546    5.960    1.702    0.424    5.560      0.000     37.240      0.150     39.060
    2.837    0.518    2.943    1.702    0.424    5.560      0.000     39.140      0.150     39.060
    2.837    0.518    2.943    3.977    0.899    2.342      0.000     40.880      0.900     39.140
    1.971    0.513    3.550    1.857    0.471    4.652      0.150     32.820      1.350     31.780
    1.857    0.471    4.652    6.000    0.449    0.692      0.150     32.820      1.500     34.470
    1.054    0.546    5.960    2.837    0.518    2.943      0.150     39.060      0.900     39.140
    2.058    0.758    3.730    3.525    0.396    2.951      0.300     21.480      0.600     23.210
    3.525    0.396    2.951    0.004    0.503    6.025      0.300     21.480      1.500     21.130
    1.971    0.513    3.550    2.829    0.638    4.066      0.300     27.370      0.750     27.110
    3.525    0.396    2.951    1.930    0.765    4.154      0.600     23.210      1.500     23.210
    2.829    0.638    4.066    1.399    0.603    5.534      0.750     26.410      0.750     27.110
    1.399    0.603    5.534    1.930    0.765    4.154      0.750     26.410      2.250     25.890
    1.399    0.603    5.534    1.971    0.513    3.550      0.750     27.110      2.250     27.110
    0.630    0.893    5.654    5.343    1.154    1.122      0.900      8.140      1.050      6.670
    5.343    1.154    1.122    3.783    0.573    2.988      0.900      8.140      2.250      8.400
    3.434    0.559    2.313    1.054    0.546    5.960      0.900     34.990      0.900     35.160
    1.054    0.546    5.960    6.000    0.449    0.692      0.900     34.990      1.500     34.470
    3.977    0.899    2.342    1.054    0.546    5.960      0.900     39.140      2.250     39.400
    0.813    0.305    6.114    0.531    0.499    5.871      1.050      0.090      2.550      1.470
    5.343    1.154    1.122    3.103    0.264    3.327      1.050      6.670      1.500      6.580
    0.004    0.503    6.025    4.901    0.399    0.932      1.050     19.660      1.500     20.090
    4.901    0.399    0.932    2.318    1.006    3.986      1.050     19.660      2.550     18.790
    1.971    0.513    3.550    4.727    0.756    1.388      1.350     31.780      2.400     30.480
    4.727    0.756    1.388    1.857    0.471    4.652      1.350     31.780      1.650     34.380
    3.103    0.264    3.327    5.058    0.681    1.730      1.500      6.580      2.400      5.540
