# segment file written by condition_segs: version 05/07/22
# some SrTiO3 data from http://mimp.materials.cmu.edu/~gr20/Grain_Boundary_Data_Archive/SrTiO3_1/SrT
# comment: Some SrTiO3 data from the Grain_Boundary_Data_Archive                                               
#   phi1     PHI      phi2     phi1     PHI      phi2        x1         y1         x2         y2 
    1.849    0.765    4.680    2.445    0.531    4.630      0.000      1.390      1.050      1.470
    2.445    0.531    4.630    0.518    0.495    5.882      0.000      2.420      0.900      1.910
    0.518    0.495    5.882    1.725    0.682    5.244      0.000      3.460      1.650      3.200
    1.725    0.682    5.244    3.117    0.262    3.315      0.000      5.020      1.950      6.150
    3.117    0.262    3.315    0.632    0.886    5.653      0.000      7.620      0.900      7.620
    3.783    0.572    2.987    0.632    0.886    5.653      0.000      9.530      1.350      9.440
    2.322    1.003    3.981    4.445    0.724    2.294      0.000     16.800      1.950     16.710
    0.019    0.520    6.002    2.322    1.003    3.981      0.000     20.960      0.900     20.960
    3.526    0.396    2.954    0.019    0.520    6.002      0.000     22.000      1.050     21.390
    1.927    0.767    4.153    3.526    0.396    2.954      0.000     24.600      0.900     24.600
    1.965    0.514    3.554    1.859    0.473    4.655      0.000     32.560      0.600     32.560
    3.430    0.569    2.314    1.859    0.473    4.655      0.000     34.990      0.750     35.250
    1.663    0.416    4.049    3.430    0.569    2.314      0.000     38.110      0.600     38.110
    6.073    0.750    6.042    1.663    0.416    4.049      0.000     39.660      0.450     39.580
    1.836    0.975    3.987    6.073    0.750    6.042      0.000     41.220      0.900     40.180
    1.088    0.131    5.033    1.836    0.975    3.987      0.000     42.780      0.300     42.950
    3.783    0.572    2.987    0.667    0.546    5.190      0.150     14.640      2.250     13.080
    0.667    0.546    5.190    4.445    0.724    2.294      0.300     14.900      1.500     14.900
    1.663    0.416    4.049    1.051    0.546    5.960      0.450     39.580      0.600     38.110
    1.051    0.546    5.960    6.073    0.750    6.042      0.450     39.580      0.900     40.180
    2.422    0.905    4.285    1.927    0.767    4.153      0.600     26.670      0.900     24.600
    1.965    0.514    3.554    5.176    0.872    1.070      0.600     29.270      1.500     28.410
    1.965    0.514    3.554    3.310    0.316    2.966      0.600     32.560      0.900     31.350
    1.965    0.514    3.554    3.310    0.316    2.966      0.900     31.350      1.650     31.780
    3.310    0.316    2.966    1.859    0.473    4.655      0.600     32.560      1.350     32.650
    1.051    0.546    5.960    3.430    0.569    2.314      0.600     38.110      1.500     36.550
    3.430    0.569    2.314    3.863    0.797    2.695      0.750     35.250      1.500     36.550
    3.863    0.797    2.695    1.859    0.473    4.655      0.750     35.250      1.650     34.900
    2.445    0.531    4.630    0.802    0.312    6.116      0.900      1.910      1.050      1.470
    0.802    0.312    6.116    0.518    0.495    5.882      0.900      1.910      2.250      2.170
    3.117    0.262    3.315    5.052    0.687    1.733      0.900      7.620      1.950      6.150
    5.052    0.687    1.733    0.632    0.886    5.653      0.900      7.620      1.050      7.710
    0.019    0.520    6.002    4.879    0.405    0.957      0.900     20.960      1.050     21.390
    4.879    0.405    0.957    2.322    1.003    3.981      0.900     20.960      2.100     19.570
    2.422    0.905    4.285    3.526    0.396    2.954      0.900     24.600      1.650     23.990
    5.176    0.872    1.070    1.396    0.600    5.542      0.900     27.710      1.350     27.970
    1.836    0.975    3.987    1.051    0.546    5.960      0.900     40.180      1.950     40.440
    0.802    0.312    6.116    1.849    0.765    4.680      1.050      1.470      1.500      0.170
    0.632    0.886    5.653    1.324    0.599    5.497      1.050      7.710      1.350      9.440
    1.324    0.599    5.497    5.052    0.687    1.733      1.050      7.710      2.400      7.970
    1.324    0.599    5.497    5.052    0.687    1.733      2.400      7.970      2.550      9.270
    4.879    0.405    0.957    3.526    0.396    2.954      1.050     21.390      1.500     21.480
    1.396    0.600    5.542    2.422    0.905    4.285      1.050     27.630      1.350     27.630
    1.324    0.599    5.497    3.783    0.572    2.987      1.350      9.440      1.950      9.790
    2.422    0.905    4.285    2.661    0.480    4.283      1.350     27.630      3.300     25.810
    2.661    0.480    4.283    1.396    0.600    5.542      1.350     27.630      1.350     27.970
    5.176    0.872    1.070    2.661    0.480    4.283      1.350     27.970      1.500     28.410
    1.859    0.473    4.655    4.726    0.754    1.393      1.350     32.650      1.650     34.900
    4.726    0.754    1.393    3.310    0.316    2.966      1.350     32.650      1.650     31.780
    0.667    0.546    5.190    3.391    0.660    2.812      1.500     14.900      1.500     13.680
    0.667    0.546    5.190    3.391    0.660    2.812      1.500     13.680      2.700     13.340
    3.391    0.660    2.812    4.445    0.724    2.294      1.500     14.900      1.650     15.160
    3.526    0.396    2.954    3.034    0.532    3.587      1.500     21.480      2.100     22.000
    3.034    0.532    3.587    4.879    0.405    0.957      1.500     21.480      2.550     20.870
    2.661    0.480    4.283    1.965    0.514    3.554      1.500     28.410      2.850     29.010
    1.051    0.546    5.960    3.863    0.797    2.695      1.500     36.550      2.400     35.160
    3.391    0.660    2.812    4.959    0.616    1.007      1.650     15.160      3.150     14.640
    4.959    0.616    1.007    4.445    0.724    2.294      1.650     15.160      1.950     16.710
    3.526    0.396    2.954    0.020    0.509    5.487      1.650     23.990      2.100     22.000
    0.020    0.509    5.487    2.422    0.905    4.285      1.650     23.990      3.300     25.810
    1.965    0.514    3.554    4.726    0.754    1.393      1.650     31.780      2.400     31.350
    4.726    0.754    1.393    3.863    0.797    2.695      1.650     34.900      2.400     35.160
    5.052    0.687    1.733    1.725    0.682    5.244      1.950      6.150      3.600      7.450
    3.783    0.572    2.987    1.270    0.599    4.735      1.950      9.790      2.400     10.050
    1.270    0.599    4.735    1.324    0.599    5.497      1.950      9.790      2.400      9.700
    4.959    0.616    1.007    2.322    1.003    3.981      1.950     16.710      2.400     16.970
    1.965    0.514    3.554    3.841    0.429    2.867      1.950     30.220      2.850     29.010
    3.841    0.429    2.867    6.042    0.994    0.214      1.950     30.220      2.250     31.260
    6.042    0.994    0.214    1.965    0.514    3.554      1.950     30.220      2.250     31.260
    2.322    1.003    3.981    0.882    0.903    5.851      2.100     19.570      2.400     16.970
    0.882    0.903    5.851    4.879    0.405    0.957      2.100     19.570      2.550     19.660
    0.020    0.509    5.487    3.034    0.532    3.587      2.100     22.000      3.300     21.650
    0.802    0.312    6.116    4.618    0.777    2.244      2.250      2.170      3.600      0.690
    4.618    0.777    2.244    0.518    0.495    5.882      2.250      2.170      2.400      2.420
    1.725    0.682    5.244    0.518    0.495    5.882      2.250      2.510      2.400      2.420
    3.339    0.349    3.164    3.783    0.572    2.987      2.250     11.860      2.400     10.050
    3.783    0.572    2.987    1.283    0.747    4.736      2.250     11.860      2.250     13.080
    1.283    0.747    4.736    3.339    0.349    3.164      2.250     11.860      3.450     11.340
    1.283    0.747    4.736    0.667    0.546    5.190      2.250     13.080      2.700     13.160
    3.841    0.429    2.867    1.965    0.514    3.554      2.250     31.260      2.400     31.350
    4.310    0.702    1.784    1.051    0.546    5.960      2.250     40.440      3.600     39.140
    4.310    0.702    1.784    1.836    0.975    3.987      2.250     40.620      2.400     40.880
    4.618    0.777    2.244    1.725    0.682    5.244      2.400      2.420      4.200      3.810
    3.339    0.349    3.164    1.270    0.599    4.735      2.400     10.050      2.700     10.050
    4.959    0.616    1.007    0.882    0.903    5.851      2.400     16.970      4.050     16.190
    4.726    0.754    1.393    3.841    0.429    2.867      2.400     31.350      4.050     31.610
    4.726    0.754    1.393    1.051    0.546    5.960      2.400     35.160      4.350     34.900
    1.836    0.975    3.987    1.077    0.320    5.668      2.400     42.950      2.850     42.000
    4.879    0.405    0.957    4.453    0.414    2.531      2.550     19.660      2.550     20.870
    4.453    0.414    2.531    0.882    0.903    5.851      2.550     19.660      4.950     18.620
    4.453    0.414    2.531    3.034    0.532    3.587      2.550     20.870      3.300     21.650
    5.052    0.687    1.733    5.274    0.906    0.532      2.700      9.180      3.300      9.180
    1.270    0.599    4.735    3.734    0.901    2.497      2.700      9.700      2.850      9.790
    3.339    0.349    3.164    6.281    0.485    6.115      2.700     10.050      3.150     10.310
    1.270    0.599    4.735    6.281    0.485    6.115      2.700     10.050      2.850      9.960
    0.667    0.546    5.190    4.283    0.722    2.582      2.700     13.160      2.700     13.340
    4.283    0.722    2.582    1.283    0.747    4.736      2.700     13.160      4.350     13.080
    4.283    0.722    2.582    3.391    0.660    2.812      2.700     13.340      3.150     14.640
    0.924    0.945    5.807    4.310    0.702    1.784      2.700     41.220      3.750     40.440
    0.924    0.945    5.807    1.836    0.975    3.987      2.700     41.400      2.850     42.000
    3.841    0.429    2.867    2.661    0.480    4.283      2.850     29.010      4.350     28.670
    1.077    0.320    5.668    0.924    0.945    5.807      2.850     42.000      4.350     42.000
    4.966    0.438    1.964    5.274    0.906    0.532      3.150      9.270      3.300      9.180
    4.966    0.438    1.964    3.734    0.901    2.497      3.150      9.440      3.300      9.530
    4.283    0.722    2.582    4.959    0.616    1.007      3.150     14.640      3.750     14.980
    5.052    0.687    1.733    4.966    0.438    1.964      3.300      9.180      3.600      9.180
    4.453    0.414    2.531    0.020    0.509    5.487      3.300     21.650      4.650     21.390
    0.020    0.509    5.487    2.661    0.480    4.283      3.300     25.810      4.050     26.410
    3.579    0.371    2.603    0.802    0.312    6.116      3.600      0.170      3.150      0.090
    0.802    0.312    6.116    5.512    0.359    0.970      3.600      0.170      3.600      0.690
    5.512    0.359    0.970    3.579    0.371    2.603      3.600      0.170      3.750      0.090
    4.618    0.777    2.244    5.512    0.359    0.970      3.600      0.690      5.550      1.470
    5.052    0.687    1.733    0.888    0.832    4.980      3.600      7.450      3.600      7.970
    0.888    0.832    4.980    1.725    0.682    5.244      3.600      7.450      5.100      6.060
    2.091    0.409    3.836    5.052    0.687    1.733      3.600      7.970      3.600      9.180
    2.091    0.409    3.836    0.888    0.832    4.980      3.600      7.970      5.250      7.710
    2.091    0.409    3.836    4.966    0.438    1.964      3.600      9.180      3.750      9.440
    4.966    0.438    1.964    1.975    0.844    3.831      3.600      9.530      3.750      9.440
    3.339    0.349    3.164    0.554    0.532    6.226      3.600     10.570      3.600     10.740
    3.339    0.349    3.164    0.311    0.700    5.529      3.600     11.090      3.600     11.260
    4.310    0.702    1.784    1.949    0.823    3.702      3.600     39.140      3.750     40.440
    1.949    0.823    3.702    1.051    0.546    5.960      3.600     39.140      4.350     38.540
    2.091    0.409    3.836    1.975    0.844    3.831      3.750      9.440      4.200      9.700
    0.554    0.532    6.226    0.311    0.700    5.529      3.750     11.000      4.050     10.480
    4.959    0.616    1.007    4.975    0.599    1.119      3.750     14.980      4.050     16.190
    4.975    0.599    1.119    4.283    0.722    2.582      3.750     14.980      4.800     14.720
    0.924    0.945    5.807    1.949    0.823    3.702      3.750     40.440      4.950     41.140
    0.311    0.700    5.529    6.156    0.085    5.827      4.050     10.310      4.200     10.050
    1.283    0.747    4.736    0.311    0.700    5.529      4.050     11.860      4.350     13.080
    4.975    0.599    1.119    0.882    0.903    5.851      4.050     16.190      5.250     16.020
    2.661    0.480    4.283    5.994    0.561    0.364      4.050     26.410      4.350     28.670
    5.994    0.561    0.364    0.020    0.509    5.487      4.050     26.410      5.850     22.950
    4.726    0.754    1.393    5.984    1.183    6.202      4.050     31.610      4.350     34.900
    5.984    1.183    6.202    3.841    0.429    2.867      4.050     31.610      5.250     30.740
    1.725    0.682    5.244    3.229    0.185    3.384      4.200      3.810      5.100      6.060
    3.229    0.185    3.384    4.618    0.777    2.244      4.200      3.810      5.550      1.470
    0.311    0.700    5.529    2.091    0.409    3.836      4.350      9.790      4.800      9.700
    0.311    0.700    5.529    4.283    0.722    2.582      4.350     13.080      4.800     13.340
    5.994    0.561    0.364    3.841    0.429    2.867      4.350     28.670      5.250     30.740
    5.984    1.183    6.202    1.051    0.546    5.960      4.350     34.900      4.950     34.900
    1.051    0.546    5.960    1.422    0.615    5.544      4.350     38.540      5.100     35.680
    1.422    0.615    5.544    1.949    0.823    3.702      4.350     38.540      4.800     38.620
    0.645    0.367    6.066    1.077    0.320    5.668      4.350     42.180      4.650     42.520
    4.453    0.414    2.531    3.663    0.838    2.029      4.650     21.390      5.700     20.090
    3.663    0.838    2.029    0.020    0.509    5.487      4.650     21.390      5.850     22.950
    2.689    0.918    3.974    0.924    0.945    5.807      4.650     42.000      4.800     41.920
    2.689    0.918    3.974    0.645    0.367    6.066      4.650     42.180      4.800     42.440
    2.091    0.409    3.836    4.031    0.883    2.052      4.800      9.700      5.250      8.230
    4.031    0.883    2.052    0.311    0.700    5.529      4.800      9.700      6.150     10.310
    0.311    0.700    5.529    4.937    0.491    2.097      4.800     13.340      5.850     13.080
    4.283    0.722    2.582    4.937    0.491    2.097      4.800     13.340      4.800     14.720
    4.975    0.599    1.119    4.937    0.491    2.097      4.800     14.720      5.400     15.240
    1.949    0.823    3.702    1.424    0.613    4.759      4.800     38.620      5.700     39.140
    1.424    0.613    4.759    1.422    0.615    5.544      4.800     38.620      5.550     38.020
    1.424    0.613    4.759    1.422    0.615    5.544      5.550     38.020      5.700     39.140
    0.924    0.945    5.807    6.007    0.718    6.239      4.800     41.920      4.950     41.480
    6.007    0.718    6.239    2.689    0.918    3.974      4.800     41.920      4.950     42.000
    4.453    0.414    2.531    1.650    0.053    4.589      4.950     18.620      5.700     20.090
    1.650    0.053    4.589    0.882    0.903    5.851      4.950     18.620      6.300     16.970
    5.984    1.183    6.202    5.879    0.826    0.155      4.950     34.900      5.700     30.830
    5.879    0.826    0.155    1.051    0.546    5.960      4.950     34.900      5.100     35.680
